Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,ROI,Points per Minute,PpM ROI
149,Undav,Brighton,4,5.5,52,614,5,2,2,0.9,9.454545454545455,0.08469055374592833,0.8007106899615043
151,Veltman,Brighton,2,4.5,95,2183,1,1,10,1.4,21.11111111111111,0.04351809436555199,0.9187153254949865
153,Webster,Brighton,2,4.5,75,1983,0,0,9,0.4,16.666666666666668,0.037821482602118005,0.6303580433686334
154,Welbeck,Brighton,4,6.0,91,1844,6,5,6,1.1,15.166666666666666,0.04934924078091106,0.7484634851771511
183,Weghorst,Burnley,4,5.5,24,790,0,1,4,0.7,4.363636363636363,0.030379746835443037,0.13256616800920598
187,Arrizabalaga,Chelsea,1,5.0,118,2565,0,0,9,2.2,23.6,0.04600389863547758,1.085692007797271
188,Aubameyang,Chelsea,4,6.5,25,546,1,0,1,0.3,3.8461538461538463,0.045787545787545784,0.17610594533671456
189,Azpilicueta,Chelsea,2,4.5,45,1521,0,0,3,0.1,10.0,0.029585798816568046,0.29585798816568043
191,B.Badiashile,Chelsea,2,4.5,40,904,1,0,4,0.6,8.88888888888889,0.04424778761061947,0.39331366764995085
194,Chalobah,Chelsea,2,4.5,49,1601,0,0,5,0.2,10.88888888888889,0.030605871330418487,0.33326393226455686
195,Chilwell,Chelsea,2,5.5,70,1402,2,3,4,4.3,12.727272727272727,0.04992867332382311,0.6354558423032032
197,Colwill,Chelsea,2,4.5,46,1218,0,2,3,1.1,10.222222222222221,0.03776683087027915,0.3860609377850757
198,Cucurella,Chelsea,2,5.0,65,1669,0,2,6,0.4,13.0,0.03894547633313361,0.5062911923307369
199,Enzo,Chelsea,3,5.0,42,1547,0,2,3,3.2,8.4,0.027149321266968326,0.22805429864253396
201,W.Fofana,Chelsea,2,4.5,37,1362,1,0,2,1.3,8.222222222222221,0.027165932452276064,0.22336433349649207
202,Gallagher,Chelsea,3,5.5,66,1608,3,1,4,0.3,12.0,0.041044776119402986,0.4925373134328358
204,Hall,Chelsea,2,4.5,19,653,0,0,1,0.2,4.222222222222222,0.02909647779479326,0.12285179513357156
206,James,Chelsea,2,5.5,44,1242,1,2,2,18.6,8.0,0.03542673107890499,0.2834138486312399
208,Madueke,Chelsea,3,5.5,26,639,1,0,0,0.9,4.7272727272727275,0.0406885758998435,0.19234599516289658
210,Mudryk,Chelsea,3,6.5,25,650,0,2,0,1.6,3.8461538461538463,0.038461538461538464,0.14792899408284024
213,Pulisic,Chelsea,3,5.5,39,805,1,1,3,0.2,7.090909090909091,0.0484472049689441,0.3435347261434218
216,Sterling,Chelsea,3,7.0,101,1886,6,4,5,3.9,14.428571428571429,0.0535524920466596,0.7726859566732314
217,T.Silva,Chelsea,2,5.0,80,2351,0,2,6,1.2,16.0,0.034028073160357296,0.5444491705657167
218,Ziyech,Chelsea,3,5.5,33,649,0,3,2,0.2,6.0,0.05084745762711865,0.3050847457627119
220,Andersen,Crystal Palace,2,4.5,80,2782,1,0,8,0.6,17.77777777777778,0.02875629043853343,0.5112229411294832
221,J.Ayew,Crystal Palace,3,5.5,104,2708,4,3,8,0.3,18.90909090909091,0.03840472673559823,0.7261984691822211
222,Clyne,Crystal Palace,2,4.5,44,1638,0,0,3,0.2,9.777777777777779,0.026862026862026864,0.26265092931759604
223,C.Doucouré,Crystal Palace,3,5.0,74,2770,0,3,7,0.1,14.8,0.026714801444043323,0.3953790613718412
225,Edouard,Crystal Palace,4,5.5,82,1788,5,2,5,1.5,14.909090909090908,0.04586129753914989,0.6837502542200529
226,Eze,Crystal Palace,3,6.5,159,2631,10,5,9,12.4,24.46153846153846,0.06043329532497149,1.4782913779493025
227,Guaita,Crystal Palace,1,4.5,99,2430,0,0,6,1.6,22.0,0.040740740740740744,0.8962962962962964
228,Guéhi,Crystal Palace,2,4.5,95,3330,1,0,9,2.3,21.11111111111111,0.028528528528528527,0.6022689356022689
229,Hughes,Crystal Palace,3,5.0,41,822,1,1,1,0.0,8.2,0.049878345498783457,0.4090024330900243
230,Johnstone,Crystal Palace,1,4.5,36,810,0,0,3,1.3,8.0,0.044444444444444446,0.35555555555555557
231,Lerma,Crystal Palace,3,5.0,101,3252,5,0,7,0.4,20.2,0.03105781057810578,0.6273677736777368
232,Mateta,Crystal Palace,4,5.0,41,748,2,0,3,0.3,8.2,0.05481283422459893,0.4494652406417112
234,Mitchell,Crystal Palace,2,4.5,93,2889,0,2,8,0.8,20.666666666666668,0.032191069574247146,0.665282104534441
236,Olise,Crystal Palace,3,6.0,132,2743,2,11,8,0.4,22.0,0.048122493620123954,1.058694859642727
240,Schlupp,Crystal Palace,3,5.0,89,2528,3,2,9,0.1,17.8,0.035205696202531646,0.6266613924050634
242,Ward,Crystal Palace,2,4.5,78,2253,1,0,8,0.2,17.333333333333332,0.03462050599201065,0.6000887705281845
246,Calvert-Lewin,Everton,4,6.0,40,1166,2,1,4,3.3,6.666666666666667,0.03430531732418525,0.22870211549456834
247,Coleman,Everton,2,4.5,63,1654,1,0,5,0.3,14.0,0.0380894800483676,0.5332527206771464
249,A.Doucoure,Everton,3,5.5,76,1527,5,2,4,0.3,13.818181818181818,0.04977079240340537,0.6877418586652378
250,Garner,Everton,3,5.0,25,796,0,1,2,0.1,5.0,0.031407035175879394,0.15703517587939697
252,Godfrey,Everton,2,4.5,18,801,0,1,1,0.2,4.0,0.02247191011235955,0.0898876404494382
253,Gray,Everton,3,5.5,91,2501,4,1,7,0.4,16.545454545454547,0.03638544582167133,0.6020137399585621
254,Gana,Everton,3,5.0,66,2577,0,1,8,0.0,13.2,0.025611175785797437,0.33806752037252613
255,Holgate,Everton,2,4.0,16,506,0,0,2,1.8,4.0,0.03162055335968379,0.12648221343873517
256,Iwobi,Everton,3,5.5,126,3379,2,8,9,0.7,22.90909090909091,0.03728913879846108,0.8542602706556539
257,Keane,Everton,2,4.5,39,983,1,2,2,0.2,8.666666666666666,0.03967446592065107,0.34384537131230924
258,Maupay,Everton,4,5.0,41,1104,1,0,3,0.7,8.2,0.03713768115942029,0.30452898550724633
259,McNeil,Everton,3,5.5,126,2490,7,5,5,0.9,22.90909090909091,0.05060240963855422,1.1592552026286966
260,Mykolenko,Everton,2,4.5,75,2653,0,1,7,0.3,16.666666666666668,0.02826988315114964,0.47116471918582736
261,Onana,Everton,3,5.0,77,2486,1,3,9,0.2,15.4,0.030973451327433628,0.47699115044247786
262,Patterson,Everton,2,4.5,31,1274,0,0,2,0.3,6.888888888888889,0.02433281004709576,0.16762602476888191
263,Pickford,Everton,1,4.5,124,3330,0,1,8,16.3,27.555555555555557,0.037237237237237236,1.0260927594260927
265,Tarkowski,Everton,2,4.5,106,3420,1,1,9,3.0,23.555555555555557,0.030994152046783626,0.7300844704353476
267,Andreas,Fulham,3,5.5,123,2696,4,10,8,4.5,22.363636363636363,0.04562314540059347,1.0202994335041813
268,Cairney,Fulham,3,5.0,53,968,2,1,1,0.1,10.6,0.05475206611570248,0.5803719008264462
270,De Cordova-Reid,Fulham,3,5.5,90,2473,4,1,8,0.2,16.363636363636363,0.03639304488475536,0.5955225526596332
271,Diop,Fulham,2,4.5,79,2008,1,0,7,0.2,17.555555555555557,0.03934262948207171,0.6906817175741479
275,Leno,Fulham,1,4.5,142,3240,0,0,8,11.0,31.555555555555557,0.043827160493827164,1.3829903978052127
278,Mitrović,Fulham,4,7.5,107,2010,14,2,7,6.1,14.266666666666667,0.05323383084577114,0.759469320066335
280,J.Palhinha,Fulham,3,5.0,83,3108,3,0,9,0.6,16.6,0.026705276705276705,0.44330759330759334
281,Ream,Fulham,2,4.5,98,2898,1,0,8,0.6,21.77777777777778,0.033816425120772944,0.7364465915190552
282,Reed,Fulham,3,5.0,107,2868,3,4,9,1.2,21.4,0.03730822873082287,0.7983960948396094
283,Robinson,Fulham,2,4.5,93,3088,0,2,9,0.6,20.666666666666668,0.03011658031088083,0.6224093264248705
285,Tete,Fulham,2,4.5,90,2569,1,5,7,0.6,20.0,0.03503308680420397,0.7006617360840794
286,Tosin,Fulham,2,4.5,49,2084,1,0,3,0.2,10.88888888888889,0.023512476007677544,0.2560247387502666
287,Vinícius,Fulham,4,5.0,72,1098,5,2,1,3.0,14.4,0.06557377049180328,0.9442622950819672
288,Wilson,Fulham,3,5.5,68,1085,2,5,2,0.2,12.363636363636363,0.06267281105990784,0.7748638458315877
290,Alexander-Arnold,Liverpool,2,8.0,156,2922,2,11,10,34.1,19.5,0.053388090349075976,1.0410677618069815
291,Alisson,Liverpool,1,5.5,162,3330,0,1,14,9.5,29.454545454545453,0.04864864864864865,1.432923832923833
292,Bajcetic,Liverpool,3,5.0,22,522,1,0,3,0.1,4.4,0.0421455938697318,0.18544061302681994
293,Darwin,Liverpool,4,7.5,100,1684,9,5,7,6.1,13.333333333333334,0.05938242280285035,0.7917656373713381
294,Diogo J.,Liverpool,3,8.0,80,1125,7,4,5,2.2,10.0,0.07111111111111111,0.7111111111111111
295,Elliott,Liverpool,3,5.0,62,1600,1,2,5,0.2,12.4,0.03875,0.4805
296,Fabinho,Liverpool,3,5.0,70,2666,0,2,11,0.1,14.0,0.02625656414103526,0.36759189797449365
297,Gakpo,Liverpool,4,7.5,90,1455,7,3,6,5.1,12.0,0.061855670103092786,0.7422680412371134
298,Gomez,Liverpool,2,4.5,68,1461,0,0,8,0.2,15.11111111111111,0.04654346338124572,0.7033234466499354
299,Henderson,Liverpool,3,5.0,69,2060,0,3,8,0.1,13.8,0.03349514563106796,0.4622330097087379
300,Jones,Liverpool,3,5.0,52,1029,3,1,4,0.2,10.4,0.05053449951409135,0.52555879494655
302,Konaté,Liverpool,2,5.0,49,1551,0,0,7,1.2,9.8,0.03159252095422308,0.30960670535138624
303,Luis Díaz,Liverpool,3,7.5,62,991,4,2,4,6.5,8.266666666666667,0.06256306760847628,0.517188025563404
304,Mac Allister,Liverpool,3,6.0,140,2882,10,2,10,15.5,23.333333333333332,0.048577376821651634,1.133472125838538
305,Matip,Liverpool,2,5.0,36,1091,1,0,3,0.3,7.2,0.03299725022914757,0.2375802016498625
307,Robertson,Liverpool,2,6.5,121,2579,0,8,9,3.9,18.615384615384617,0.046917409848778596,0.8733856294926478
308,Salah,Liverpool,3,12.5,239,3290,19,13,13,25.9,19.12,0.07264437689969605,1.3889604863221885
310,Thiago,Liverpool,3,5.0,30,1252,0,0,2,0.2,6.0,0.023961661341853034,0.1437699680511182
311,Tsimikas,Liverpool,2,4.5,48,762,0,4,4,0.2,10.666666666666666,0.06299212598425197,0.6719160104986877
313,Virgil,Liverpool,2,6.0,127,2835,3,1,11,8.1,21.166666666666668,0.04479717813051146,0.948206937095826
341,Akanji,Man City,2,5.0,82,2284,0,1,7,3.8,16.4,0.03590192644483362,0.5887915936952713
