Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
580,Huijsen,Bournemouth,2,4.5,0,0,0,0,0,0.0,a,0.0,0.0,0.0
86,Ajer,Brentford,2,4.5,68,1826,2,1,5,0.4,a,15.11111111111111,0.03723986856516977,0.5627357916514543
87,Brierley,Brentford,3,4.5,0,0,0,0,0,0.1,a,0.0,0.0,0.0
88,Collins,Brentford,2,4.5,84,2649,1,1,7,0.4,a,18.666666666666668,0.031710079275198186,0.5919214798036995
89,Damsgaard,Brentford,3,5.0,45,829,0,4,5,0.1,a,9.0,0.054282267792521106,0.48854041013268995
90,Dasilva,Brentford,3,5.0,3,22,0,0,0,0.1,a,0.6,0.13636363636363635,0.0818181818181818
91,Flekken,Brentford,1,4.5,119,3285,0,1,7,13.9,a,26.444444444444443,0.036225266362252664,0.9579570438017926
92,Henry,Brentford,2,4.5,13,401,0,1,1,0.6,a,2.888888888888889,0.032418952618453865,0.09365475200886672
93,Hickey,Brentford,2,4.5,17,713,0,0,2,0.2,a,3.7777777777777777,0.023842917251051893,0.09007324294841826
94,Janelt,Brentford,3,5.0,93,3054,1,4,9,0.2,a,18.6,0.030451866404715127,0.5664047151277014
95,Jensen,Brentford,3,5.5,98,2201,3,4,9,0.2,a,17.818181818181817,0.044525215810995,0.7933583908140927
96,Ji-soo,Brentford,2,4.0,0,0,0,0,0,0.3,a,0.0,0.0,0.0
97,Konak,Brentford,3,4.5,0,0,0,0,0,0.1,a,0.0,0.0,0.0
98,Lewis-Potter,Brentford,3,5.0,73,1428,3,2,6,0.1,a,14.6,0.05112044817927171,0.746358543417367
99,Mbeumo,Brentford,3,7.0,127,1957,9,7,5,7.0,a,18.142857142857142,0.06489524782830863,1.1773852105993137
100,Mee,Brentford,2,4.5,39,1272,2,1,1,1.3,a,8.666666666666666,0.030660377358490566,0.26572327044025157
101,Nørgaard,Brentford,3,5.0,74,2504,2,1,6,0.1,a,14.8,0.029552715654952075,0.43738019169329073
102,Onyeka,Brentford,3,5.0,39,1147,1,2,1,0.1,a,7.8,0.03400174367916303,0.26521360069747163
103,Peart-Harris,Brentford,3,4.5,3,11,0,0,0,0.1,a,0.6666666666666666,0.2727272727272727,0.1818181818181818
104,Pinnock,Brentford,2,4.5,77,2521,2,0,5,0.5,a,17.11111111111111,0.030543435144783818,0.5226321124774119
105,Roerslev,Brentford,2,4.5,75,1975,1,2,5,0.2,a,16.666666666666668,0.0379746835443038,0.6329113924050633
106,Schade,Brentford,3,5.5,33,327,2,2,1,0.1,a,6.0,0.10091743119266056,0.6055045871559633
107,Thiago,Brentford,4,6.0,0,0,0,0,0,0.4,a,0.0,0.0,0.0
108,Toney,Brentford,4,7.5,57,1449,4,3,3,11.8,a,7.6,0.039337474120082816,0.29896480331262937
109,Valdimarsson,Brentford,1,4.0,0,0,0,0,0,1.9,a,0.0,0.0,0.0
110,Wissa,Brentford,4,6.0,131,2488,12,4,11,2.6,a,21.833333333333332,0.05265273311897106,1.1495846730975348
111,Yarmoliuk,Brentford,3,4.5,33,670,0,0,4,2.9,a,7.333333333333333,0.049253731343283584,0.3611940298507463
112,Zanka,Brentford,2,4.5,29,1086,1,0,2,0.1,a,6.444444444444445,0.026703499079189688,0.17208921628811133
113,Adingra,Brighton,3,5.5,97,2220,6,1,4,0.7,a,17.636363636363637,0.04369369369369369,0.7705978705978705
114,Baker-Boaitey,Brighton,3,4.5,4,37,0,0,0,0.1,a,0.8888888888888888,0.10810810810810811,0.0960960960960961
115,Baleba,Brighton,3,5.0,34,1314,0,0,2,0.1,a,6.8,0.0258751902587519,0.17595129375951293
116,Barco,Brighton,2,4.0,5,307,0,0,0,8.5,a,1.25,0.016286644951140065,0.020358306188925084
117,Buonanotte,Brighton,3,5.0,57,1356,3,1,6,0.1,a,11.4,0.0420353982300885,0.4792035398230089
118,Cozier-Duberry,Brighton,3,4.5,0,0,0,0,0,0.2,a,0.0,0.0,0.0
119,Dahoud,Brighton,3,5.0,14,449,0,1,1,0.0,a,2.8,0.031180400890868598,0.08730512249443206
120,Dunk,Brighton,2,4.5,89,2869,3,1,5,4.2,a,19.77777777777778,0.031021261763680724,0.6135316215483522
121,Enciso,Brighton,3,5.5,20,468,0,2,0,0.4,a,3.6363636363636362,0.042735042735042736,0.1554001554001554
124,Gilmour,Brighton,3,5.0,61,2116,0,3,6,0.2,a,12.2,0.028827977315689982,0.3517013232514178
125,Gross,Brighton,3,6.5,153,3112,4,11,7,2.0,a,23.53846153846154,0.04916452442159383,1.1572572671544394
126,Hinshelwood,Brighton,3,5.0,42,866,3,0,2,0.0,a,8.4,0.04849884526558892,0.4073903002309469
127,I.Osman,Brighton,3,5.0,0,0,0,0,0,0.0,a,0.0,0.0,0.0
128,Igor,Brighton,2,4.5,37,1631,0,0,2,0.2,a,8.222222222222221,0.022685469037400367,0.18652496764084744
129,João Pedro,Brighton,4,5.5,104,2037,9,3,5,18.1,a,18.90909090909091,0.051055473735886106,0.9654125942785737
131,Lamptey,Brighton,2,4.5,31,908,0,3,1,0.5,a,6.888888888888889,0.034140969162995596,0.23519334312285856
133,Mazilu,Brighton,3,4.5,0,0,0,0,0,0.0,a,0.0,0.0,0.0
134,Milner,Brighton,3,5.0,28,770,0,2,4,0.1,a,5.6,0.03636363636363636,0.20363636363636362
135,Minteh,Brighton,3,5.5,0,0,0,0,0,0.8,a,0.0,0.0,0.0
136,Mitoma,Brighton,3,6.5,74,1485,3,7,1,1.7,a,11.384615384615385,0.04983164983164983,0.5673141673141673
137,Moder,Brighton,3,4.5,21,608,0,0,1,0.4,a,4.666666666666667,0.03453947368421053,0.16118421052631582
138,O’Mahony,Brighton,4,4.5,2,61,0,0,0,0.4,a,0.4444444444444444,0.03278688524590164,0.014571948998178506
139,Offiah,Brighton,2,4.0,4,126,0,0,0,0.2,a,1.0,0.031746031746031744,0.031746031746031744
140,Peupion,Brighton,3,4.5,0,0,0,0,0,0.0,a,0.0,0.0,0.0
141,Sarmiento,Brighton,3,5.0,0,0,0,0,0,0.1,a,0.0,0.0,0.0
142,Steele,Brighton,1,4.5,42,1530,0,0,2,0.5,a,9.333333333333334,0.027450980392156862,0.2562091503267974
143,Undav,Brighton,4,5.5,0,0,0,0,0,0.2,a,0.0,0.0,0.0
144,Van Hecke,Brighton,2,4.5,61,2368,0,0,5,0.3,a,13.555555555555555,0.025760135135135136,0.34919294294294295
145,Veltman,Brighton,2,4.5,49,1579,1,1,3,0.2,a,10.88888888888889,0.03103229892336922,0.3379072549433538
146,Verbruggen,Brighton,1,4.5,68,1890,0,0,4,2.8,a,15.11111111111111,0.03597883597883598,0.5436801881246326
147,Webster,Brighton,2,4.5,26,1142,0,0,2,0.2,a,5.777777777777778,0.02276707530647986,0.13154310177077252
148,Welbeck,Brighton,4,5.5,79,1687,5,4,8,0.4,a,14.363636363636363,0.04682868998221695,0.6726302742900253
149,Wieffer,Brighton,3,5.0,0,0,0,0,0,0.1,a,0.0,0.0,0.0
