Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
475,Berge,Sheffield Utd,3,5.0,0,0,0,0,0,0.3,a,0.0,,
476,Bogle,Sheffield Utd,2,4.5,0,0,0,0,0,0.2,a,0.0,,
477,Brewster,Sheffield Utd,4,5.0,0,0,0,0,0,0.4,a,0.0,,
478,Coulibaly,Sheffield Utd,3,4.5,0,0,0,0,0,0.4,a,0.0,,
479,Davies,Sheffield Utd,1,4.0,0,0,0,0,0,0.3,a,0.0,,
480,Egan,Sheffield Utd,2,4.5,0,0,0,0,0,0.3,a,0.0,,
481,Fleck,Sheffield Utd,3,5.0,0,0,0,0,0,0.1,a,0.0,,
482,Foderingham,Sheffield Utd,1,4.5,0,0,0,0,0,0.5,a,0.0,,
483,Jebbison,Sheffield Utd,4,5.0,0,0,0,0,0,0.1,a,0.0,,
484,Lowe,Sheffield Utd,2,4.5,0,0,0,0,0,0.2,a,0.0,,
485,McBurnie,Sheffield Utd,4,5.5,0,0,0,0,0,0.3,a,0.0,,
486,Ndiaye,Sheffield Utd,4,5.5,0,0,0,0,0,1.4,a,0.0,,
487,Norrington-Davies,Sheffield Utd,2,4.0,0,0,0,0,0,0.3,a,0.0,,
488,Norwood,Sheffield Utd,3,5.0,0,0,0,0,0,0.1,a,0.0,,
489,Osborn,Sheffield Utd,3,5.0,0,0,0,0,0,0.0,a,0.0,,
490,Osula,Sheffield Utd,4,4.5,0,0,0,0,0,0.5,a,0.0,,
576,Robinson,Sheffield Utd,2,4.5,0,0,0,0,0,0.1,a,0.0,,
491,Austin,Spurs,1,4.0,0,0,0,0,0,0.2,a,0.0,,
493,Bissouma,Spurs,3,5.0,27,998,0,0,1,0.1,a,5.4,0.027054108216432865,0.14609218436873747
494,Bryan,Spurs,3,5.0,9,146,0,1,1,0.0,a,1.8,0.06164383561643835,0.11095890410958904
495,Davies,Spurs,2,4.5,99,2284,2,3,9,0.6,a,22.0,0.043345008756567424,0.9535901926444833
496,Dier,Spurs,2,4.5,96,2816,2,1,9,0.9,a,21.333333333333332,0.03409090909090909,0.7272727272727272
497,E.Royal,Spurs,2,4.5,86,1729,2,2,7,0.6,a,19.11111111111111,0.04973973395026027,0.9505815821605296
498,Forster,Spurs,1,4.0,40,1215,0,0,3,5.6,a,10.0,0.03292181069958848,0.32921810699588483
499,Højbjerg,Spurs,3,5.5,120,3131,4,5,10,0.4,a,21.818181818181817,0.03832641328648994,0.8362126535234168
500,Kane,Spurs,4,12.5,263,3406,30,9,11,16.9,a,21.04,0.07721667645331767,1.6246388725778038
501,Kulusevski,Spurs,3,7.0,96,2062,2,7,8,2.1,a,13.714285714285714,0.04655674102812803,0.6384924483857558
502,Lloris,Spurs,1,5.0,89,2205,0,0,7,0.8,a,17.8,0.04036281179138322,0.7184580498866213
503,Lo Celso,Spurs,3,5.0,0,0,0,0,0,0.1,a,0.0,,
504,Maddison,Spurs,3,7.5,135,2479,10,9,4,18.1,a,18.0,0.05445744251714401,0.9802339653085922
505,Ndombele,Spurs,3,4.5,0,0,0,0,0,1.3,a,0.0,,
506,Pedro Porro,Spurs,2,5.0,59,1132,3,3,2,4.4,a,11.8,0.052120141342756186,0.615017667844523
507,Perišić,Spurs,2,5.0,94,2099,1,8,6,1.9,a,18.8,0.04478323010957599,0.8419247260600285
508,Reguilón,Spurs,2,4.5,0,0,0,0,0,0.2,a,0.0,,
509,Richarlison,Spurs,3,7.0,54,995,1,5,3,1.8,a,7.714285714285714,0.054271356783919596,0.418664752333094
510,Rodon,Spurs,2,4.0,0,0,0,0,0,0.3,a,0.0,,
511,Romero,Spurs,2,4.5,66,2363,0,2,8,0.9,a,14.666666666666666,0.0279305966991113,0.4096487515869657
512,Sánchez,Spurs,2,4.5,28,848,0,0,2,0.2,a,6.222222222222222,0.0330188679245283,0.20545073375262055
513,Sarr,Spurs,3,4.5,14,211,0,1,0,0.7,a,3.111111111111111,0.06635071090047394,0.20642443391258558
514,Sessegnon,Spurs,2,4.5,35,805,2,1,1,0.2,a,7.777777777777778,0.043478260869565216,0.33816425120772947
515,Skipp,Spurs,3,5.0,43,1489,1,0,4,0.1,a,8.6,0.02887844190732035,0.24835460040295498
516,Son,Spurs,3,9.0,152,2886,10,6,9,5.6,a,16.88888888888889,0.05266805266805267,0.8895048895048895
517,Spence,Spurs,2,4.0,4,5,0,0,0,1.0,a,1.0,0.8,0.8
518,Tanganga,Spurs,2,4.0,4,145,0,0,0,0.7,a,1.0,0.027586206896551724,0.027586206896551724
519,Udogie,Spurs,2,4.5,0,0,0,0,0,0.4,a,0.0,,
520,Vicario,Spurs,1,5.0,0,0,0,0,0,1.0,a,0.0,,
521,Whiteman,Spurs,1,4.0,0,0,0,0,0,0.3,a,0.0,,
522,N.Aguerd,West Ham,2,4.5,58,1594,2,0,5,0.8,a,12.88888888888889,0.03638644918444166,0.4689809005994703
523,Antonio,West Ham,4,6.0,84,1822,5,3,5,1.7,a,14.0,0.04610318331503842,0.6454445664105378
524,Areola,West Ham,1,4.0,7,307,0,0,0,27.0,a,1.75,0.02280130293159609,0.039902280130293157
525,Benrahma,West Ham,3,6.0,106,2059,6,3,6,1.1,a,17.666666666666668,0.05148130160271977,0.9095029949813827
526,Bowen,West Ham,3,7.0,145,3232,6,9,9,4.2,a,20.714285714285715,0.04486386138613861,0.9293228429985856
527,Cornet,West Ham,3,5.5,14,232,0,0,0,0.2,a,2.5454545454545454,0.0603448275862069,0.1536050156739812
528,Coufal,West Ham,2,4.5,58,2135,0,2,4,0.3,a,12.88888888888889,0.027166276346604217,0.35014311735623216
529,Coventry,West Ham,3,4.5,1,1,0,0,0,0.1,a,0.2222222222222222,1.0,0.2222222222222222
530,Cresswell,West Ham,2,4.5,74,2235,0,1,6,0.9,a,16.444444444444443,0.033109619686800894,0.5444693015162814
531,Downes,West Ham,3,5.0,27,752,0,0,1,0.0,a,5.4,0.03590425531914894,0.1938829787234043
532,Emerson,West Ham,2,4.5,39,1317,1,0,2,0.3,a,8.666666666666666,0.029612756264236904,0.25664388762338647
533,Fabianski,West Ham,1,4.5,127,3111,0,0,9,3.4,a,28.22222222222222,0.04082288653166184,1.152112575449123
534,P.Fornals,West Ham,3,5.0,71,1493,3,1,1,0.1,a,14.2,0.047555257870060284,0.675284661754856
535,Ings,West Ham,4,6.0,97,1579,8,2,5,1.3,a,16.166666666666668,0.06143128562381254,0.9931391175849694
536,Johnson,West Ham,2,4.5,29,860,0,0,2,0.1,a,6.444444444444445,0.03372093023255814,0.21731266149870804
537,Kehrer,West Ham,2,4.5,67,2229,0,3,5,0.2,a,14.88888888888889,0.0300583221175415,0.4475350181945068
538,Mubama,West Ham,4,4.5,0,0,0,0,0,1.2,a,0.0,,
539,L.Paquetá,West Ham,3,6.0,98,2154,4,5,6,1.6,a,16.333333333333332,0.04549675023212628,0.7431135871247292
540,Rice,West Ham,3,5.5,116,3272,4,3,9,5.3,a,21.09090909090909,0.035452322738386305,0.7477217159368748
541,Scamacca,West Ham,4,6.0,41,921,3,0,3,0.3,a,6.833333333333333,0.04451682953311618,0.3041983351429605
542,Souček,West Ham,3,5.0,100,2811,2,4,8,1.0,a,20.0,0.03557452863749555,0.711490572749911
543,Vlašić,West Ham,3,4.5,0,0,0,0,0,0.7,a,0.0,,
544,Zouma,West Ham,2,4.5,88,1988,2,1,7,0.7,a,19.555555555555557,0.04426559356136821,0.8656382740889783
